dzielnica,cena,cena_m2,powierzchnia,rok_budowy,wlasnosc,zabudowa,stan,pietro,pietro_max,czynsz,pokoje,material,winda,rynek,ogloszeniodawca,balkon,ogrod,taras,wspolrzedne_szerokosc,wspolrzedne_wysokosc,link,odleglosc_metro,odleglosc_centrum
Mokotów,796800.0,17558.0,45.38,,,building_type::apartment,,2.0,2.0,,2.0,,1,market::primary,advertiser_type::agency,1,0,0,52.18238,21.04252,https://www.otodom.pl/pl/oferta/mieszkanie-w-stanie-deweloperskim-na-mokotowie-ID4l82v,2.091865785375493,6.0229574308974545
Włochy,1149000.0,14772.0,77.78,2022.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,3.0,6.0,930,4.0,building_material::other,1,market::secondary,advertiser_type::private,1,0,0,52.202496,20.943969,https://www.otodom.pl/pl/oferta/bezposrednio-brak-pcc-wykonczone-ID4kgUp,3.7892870840718342,5.333564584742724
Praga-Południe,1170000.0,13000.0,90.0,2025.0,building_ownership::full_ownership,building_type::apartment,construction_status::to_completion,1.0,5.0,,4.0,,1,market::primary,advertiser_type::agency,1,0,0,52.24168,21.08406,https://www.otodom.pl/pl/oferta/salon-30m2-15-min-do-metra-blisko-szkola-ID4kxnU,2.894297695491211,5.426385975221123
Ursynów,780701.0,14945.0,52.24,2022.0,building_ownership::full_ownership,building_type::apartment,construction_status::to_completion,4.0,4.0,,3.0,,1,market::primary,advertiser_type::agency,1,0,0,52.14831,21.03415,https://www.otodom.pl/pl/oferta/sloneczny-3-pokojowy-apartament-na-inwestycje-ID4fTD6,0.5410483868140108,9.470519983253565
Praga-Południe,429000.0,11595.0,37.0,2010.0,building_ownership::full_ownership,building_type::apartment,construction_status-67::ready_to_use,0.0,2.0,470,1.0,building_material-69::brick,1,market::secondary,advertiser_type::agency,0,0,1,52.24373,21.11728,https://www.otodom.pl/pl/oferta/kawalerka-na-goclawku-ID4lc2l,5.110261007368139,7.6909685543073865
Białołęka,487305.0,8500.0,57.33,2022.0,building_ownership::full_ownership,building_type-15::block,construction_status::to_completion,0.0,3.0,,3.0,building_material::other,1,market::primary,advertiser_type::agency,0,1,0,52.36383,21.02706,https://www.otodom.pl/pl/oferta/przestronne-3-pokoje-z-41-metrowym-ogrodem-ID4feXS,7.808769450038028,14.759296742863386
Śródmieście,3150000.0,37661.0,83.64,2021.0,building_ownership::full_ownership,,construction_status-67::ready_to_use,4.0,8.0,,3.0,,0,market::secondary,advertiser_type::agency,0,0,1,52.22552,21.03738,https://www.otodom.pl/pl/oferta/luksusowy-budynek-niezwykly-apartament-z-tarasem-ID4kVIT,1.6521819784893519,2.2424397749996627
Praga-Południe,837000.0,14984.0,55.86,2023.0,building_ownership::full_ownership,,construction_status::to_completion,1.0,4.0,,3.0,,1,market::primary,advertiser_type::private,0,0,0,52.24359973565979,21.11814982803344,https://www.otodom.pl/pl/oferta/wiarusow-10-nowe-odbior-06-23-kameralny-budynek-ID4kwgV,5.170343167770702,7.746834012309499
Mokotów,999000.0,17526.0,57.0,2017.0,,,,2.0,8.0,,3.0,,1,market::secondary,advertiser_type::agency,1,0,0,52.18548,20.99304,https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-2x-garaz-ID4kTQa,1.0033447875881703,5.217522142784201
Wola,685000.0,11417.0,60.0,,building_ownership::full_ownership,building_type-15::block,construction_status-67::ready_to_use,2.0,4.0,800,3.0,,0,market::secondary,advertiser_type::agency,1,0,0,52.24599092461381,20.98076729947511,https://www.otodom.pl/pl/oferta/jasne-rozkladowe-ciche-balkon-piwnica-potencjal-ID4ksVF,1.4580264227468227,2.341346588126372
Wawer,846000.0,15000.0,56.4,2010.0,,building_type::apartment,construction_status-67::ready_to_use,1.0,3.0,,2.0,building_material-69::brick,0,market::secondary,advertiser_type::agency,0,1,1,52.2253022,21.1563311,https://www.otodom.pl/pl/oferta/mieszkanie-56-40-m-warszawa-ID4fAYN,8.11998907082454,10.26026911066225
Ursus,439990.0,9462.0,46.5,1954.0,building_ownership::full_ownership,building_type::tenement,construction_status::to_renovation,3.0,3.0,500,3.0,building_material-69::brick,0,market::secondary,advertiser_type::private,0,0,0,52.19241088181085,20.89302291230316,https://www.otodom.pl/pl/oferta/kilka-minut-do-pkp-skmdo-remontubezposrednio-ID4l5Vr,5.5004571578351955,8.854954366357424
Praga-Południe,789721.0,10656.0,74.11,2023.0,building_ownership::full_ownership,,construction_status::to_completion,2.0,7.0,,4.0,building_material::other,1,market::primary,advertiser_type::agency,0,0,0,52.24968,21.0647,https://www.otodom.pl/pl/oferta/nowa-inwestycja-na-pradze-poludnie-ID4fjBe,1.5512313422249762,4.464980269357979
